id,date,open,high,low,close,volume,market_capital
1322,2005/4/6,6025.29 ,6046.16 ,6006.81 ,6013.49 ,2684074.00 ,13823725.00 
1323,2005/4/7,6032.01 ,6043.10 ,5971.76 ,5971.76 ,3363346.00 ,13728037.00 
1324,2005/4/8,6002.35 ,6028.55 ,5997.29 ,6024.07 ,2560289.00 ,13848615.00 
1325,2005/4/11,6021.33 ,6021.33 ,5969.40 ,5979.42 ,2219320.00 ,13745436.00 
1326,2005/4/12,5974.71 ,5995.93 ,5955.24 ,5993.89 ,1969968.00 ,13779254.00 
1327,2005/4/13,6004.49 ,6008.60 ,5990.20 ,5998.08 ,2194218.00 ,13787523.00 
1328,2005/4/14,5966.84 ,5994.99 ,5964.33 ,5976.68 ,2476434.00 ,13738911.00 
1329,2005/4/15,5946.20 ,5946.20 ,5875.67 ,5888.37 ,3241689.00 ,13540203.00 
1330,2005/4/18,5809.76 ,5809.76 ,5679.35 ,5715.16 ,3264076.00 ,13142150.00 
1331,2005/4/19,5736.97 ,5773.32 ,5726.96 ,5748.35 ,2550634.00 ,13218655.00 
1332,2005/4/20,5799.85 ,5799.85 ,5683.00 ,5693.01 ,2789863.00 ,13092607.00 
1333,2005/4/21,5565.41 ,5725.48 ,5565.41 ,5721.99 ,2953950.00 ,13166988.00 
1334,2005/4/22,5777.49 ,5799.73 ,5741.49 ,5747.09 ,2747682.00 ,13225466.00 
1335,2005/4/25,5753.24 ,5771.38 ,5727.42 ,5758.31 ,1927160.00 ,13251391.00 
1336,2005/4/26,5773.77 ,5815.14 ,5755.88 ,5805.25 ,2375290.00 ,13357273.00 
1337,2005/4/27,5806.69 ,5817.92 ,5777.41 ,5778.27 ,2033982.00 ,13297901.00 
1338,2005/4/28,5775.25 ,5842.27 ,5755.08 ,5842.27 ,2211125.00 ,13445305.00 
1339,2005/4/29,5810.34 ,5818.07 ,5780.97 ,5818.07 ,2176426.00 ,13384273.00 
1340,2005/5/3,5845.14 ,5865.90 ,5818.22 ,5818.22 ,2487435.00 ,13390324.00 
1341,2005/5/4,5827.74 ,5831.02 ,5793.25 ,5803.68 ,2264058.00 ,13356544.00 
1342,2005/5/5,5851.50 ,5957.87 ,5851.50 ,5927.50 ,3750643.00 ,13641380.00 
1343,2005/5/6,5932.04 ,5974.86 ,5917.02 ,5967.96 ,3080908.00 ,13732652.00 
1344,2005/5/9,5957.92 ,5973.60 ,5950.63 ,5966.85 ,2592247.00 ,13729987.00 
1345,2005/5/10,5973.37 ,5976.83 ,5939.48 ,5949.80 ,2582650.00 ,13690617.00 
1346,2005/5/11,5900.72 ,5925.02 ,5900.72 ,5917.13 ,2168385.00 ,13615655.00 
1347,2005/5/12,5917.99 ,5934.60 ,5906.37 ,5934.60 ,2364196.00 ,13655733.00 
1348,2005/5/13,5931.53 ,6001.19 ,5925.67 ,5981.48 ,3013181.00 ,13763552.00 
1349,2005/5/16,5992.31 ,5997.77 ,5925.88 ,5925.88 ,2772812.00 ,13635361.00 
1350,2005/5/17,5939.31 ,5943.92 ,5879.19 ,5894.01 ,2351473.00 ,13561853.00 
1351,2005/5/18,5901.08 ,5921.17 ,5889.47 ,5890.83 ,2210445.00 ,13554680.00 
1352,2005/5/19,5963.90 ,5997.76 ,5958.34 ,5970.71 ,2766890.00 ,13738505.00 
1353,2005/5/20,5987.10 ,5996.11 ,5954.69 ,5954.69 ,2449005.00 ,13701820.00 
1354,2005/5/23,5953.28 ,5953.28 ,5884.06 ,5885.45 ,1923255.00 ,13543055.00 
1355,2005/5/24,5888.85 ,5925.88 ,5888.85 ,5909.10 ,2161154.00 ,13597550.00 
1356,2005/5/25,5921.59 ,5956.64 ,5879.08 ,5888.53 ,2640606.00 ,13549451.00 
1357,2005/5/26,5903.01 ,5939.42 ,5883.18 ,5939.42 ,2254692.00 ,13666675.00 
